Id_orden,Id_cliente,Id_empleado,Fecha_orden,Id_metodo,Total
1,655,4,2025-03-16,1,2807113
2,251,8,2025-03-15,2,1359791
3,693,18,2025-05-06,1,4039336
4,33,1,2025-05-28,1,2334068
5,239,17,2025-06-21,5,722599
6,575,7,2025-06-09,5,4019187
7,226,15,2025-06-26,5,2833632
8,829,1,2025-05-07,2,4045146
9,349,9,2025-02-15,2,2306182
10,981,11,2025-04-19,1,1278008
11,390,4,2025-04-24,3,3385309
12,619,9,2025-03-18,1,4353935
13,550,4,2025-05-20,4,1161023
14,566,10,2025-05-12,5,3533614
15,592,7,2025-02-19,1,884402
16,678,8,2025-03-24,3,1169343
17,876,8,2025-02-15,1,3688729
18,285,15,2025-02-13,3,1864441
19,380,12,2025-03-10,2,2739572
20,719,3,2025-01-22,5,1935615
21,547,8,2025-01-22,2,4377719
22,389,9,2025-02-16,5,2342265
23,702,11,2025-06-02,1,2421394
24,842,2,2025-05-30,3,3865214
25,275,3,2025-05-10,2,3139709
26,218,16,2025-02-08,4,4349128
27,147,9,2025-05-08,2,2568861
28,763,18,2025-02-20,5,2704036
29,765,19,2025-06-11,4,3850414
30,371,8,2025-06-18,2,4774216
31,506,3,2025-03-13,1,1419803
32,157,6,2025-03-07,4,1032909
33,395,13,2025-06-30,5,4426287
34,542,9,2025-03-19,5,596309
35,697,4,2025-01-22,5,2738291
36,788,11,2025-02-08,1,2962057
37,446,6,2025-02-26,4,527223
38,977,9,2025-04-16,5,1998640
39,520,4,2025-03-27,3,4758584
40,624,7,2025-03-11,2,3636616
41,781,6,2025-06-25,5,4948929
42,941,1,2025-05-21,5,3219218
43,501,1,2025-02-20,1,3544903
44,900,10,2025-07-13,2,985911
45,247,19,2025-01-27,1,1218513
46,750,16,2025-07-12,1,4968663
47,785,5,2025-03-22,2,4486957
48,970,18,2025-06-15,2,2723456
49,541,20,2025-07-03,4,2276692
50,952,18,2025-01-23,2,3114865
51,409,12,2025-04-06,4,4841740
52,463,4,2025-06-04,2,2384897
53,66,11,2025-04-20,1,2430342
54,603,8,2025-05-26,1,1095533
55,725,2,2025-06-09,2,1065394
56,928,2,2025-03-13,3,1094394
57,527,8,2025-04-27,3,4571951
58,220,18,2025-06-11,2,4465051
59,249,16,2025-04-26,4,2097274
60,97,4,2025-03-12,4,3472063
61,434,14,2025-06-01,4,954420
62,690,4,2025-04-05,1,3877432
63,746,11,2025-05-03,1,2585880
64,197,7,2025-05-17,5,4263243
65,144,14,2025-06-07,2,2836606
66,474,8,2025-04-05,1,4217250
67,828,18,2025-05-28,1,924365
68,668,18,2025-04-02,1,1282344
